,SN,ON_HOURS,NUM_OF_POWER_ONS,EXPECTED_MOTOR_ROTATIONS,SUPPOSED_MOTOR_ROTATIONS,ACTIVE_MILLING_HOURS,DAYS OFFLINE,DAYS SINCE VISIT,CATEGORY
0,21050601,3.98,1.0,1977.0,1977.0,2.76,60.0,61.0,Technical
1,19060557,1.03,1.0,12.0,12.0,0.01,275.0,205.0,Nontechnical
2,21110979,0.76,1.0,70.0,6.0,0.24,51.0,11.0,Technical
3,21050651,0.67,1.0,0.0,0.0,0.0,48.0,122.0,Nontechnical
4,21050615,9.95,1.0,0.0,0.0,0.01,75.0,76.0,Nontechnical
5,19060324,10.71,1.0,6208.0,6342.0,5.3,97.0,98.0,Nontechnical
6,19060345,9.97,1.0,8.0,8.0,0.01,63.0,83.0,Nontechnical
7,21050601,1.79,1.0,978.0,978.0,1.79,32.0,135.0,Technical
8,21050719,2.83,1.0,9.0,9.0,1.58,124.0,5.0,Technical
9,21110903,1.63,1.0,75.0,75.0,0.88,39.0,61.0,Technical
10,19060416,3.97,1.0,970.0,913.0,3.12,43.0,65.0,Technical
11,19060416,3.62,1.0,6.0,6.0,1.16,31.0,31.0,Nontechnical
12,18040178,9.94,1.0,986.0,986.0,4.4,546.0,524.0,Nontechnical
13,18040245,8.67,1.0,95.0,95.0,4.93,158.0,206.0,Technical
14,19060395,8.34,1.0,0.0,0.0,0.0,31.0,34.0,Technical
15,19060571,7.01,1.0,5226.0,5225.0,6.2,298.0,75.0,Nontechnical
16,21110893,0.35,1.0,176.0,175.0,0.26,39.0,61.0,Technical
17,19060395,7.38,1.0,967.0,967.0,4.47,31.0,34.0,Technical
18,21050719,9.94,1.0,9930.0,9930.0,8.96,79.0,100.0,Nontechnical
19,21111023,2.62,1.0,529.0,567.0,1.15,37.0,3.0,Technical
20,21050584,7.78,1.0,67.0,69.0,0.59,51.0,69.0,Technical
21,21050719,7.01,1.0,95.0,95.0,6.38,81.0,81.0,Nontechnical
22,21050601,2.6,1.0,286.0,286.0,2.6,60.0,61.0,Technical
23,21050703,0.19,1.0,66.0,66.0,0.07,83.0,83.0,Nontechnical
24,18040301,9.99,1.0,6683.0,8514.0,8.71,46.0,46.0,Nontechnical
25,19060557,7.61,1.0,4221.0,4220.0,7.44,220.0,4.0,Technical
26,18040234,0.33,1.0,0.0,0.0,0.0,91.0,95.0,Nontechnical
27,21050678,3.1,1.0,872.0,872.0,2.69,83.0,83.0,Nontechnical
28,18040215,9.95,1.0,0.0,0.0,0.0,154.0,74.0,Nontechnical
29,17020148,9.95,1.0,1.0,4.0,0.01,177.0,524.0,Nontechnical
30,18040296,4.2,1.0,965.0,965.0,3.08,68.0,74.0,Nontechnical
31,18040173,9.29,1.0,1.0,1.0,0.01,177.0,524.0,Nontechnical
32,18040178,0.33,1.0,50.0,50.0,0.17,52.0,194.0,Nontechnical
33,21050601,7.39,1.0,0.0,0.0,0.0,32.0,135.0,Technical
34,21050719,7.16,1.0,346.0,346.0,0.24,272.0,73.0,Nontechnical
35,21050747,2.04,1.0,0.0,0.0,0.0,39.0,69.0,Technical
36,21050822,9.92,1.0,7.0,7.0,0.02,70.0,41.0,Technical
37,21050610,9.99,1.0,0.0,0.0,0.01,75.0,76.0,Nontechnical
38,21111040,0.82,1.0,291.0,291.0,0.39,37.0,3.0,Technical
39,21050822,8.06,1.0,8469.0,8470.0,7.88,70.0,41.0,Technical
40,18040273,8.5,1.0,7.0,7.0,0.03,158.0,206.0,Technical
41,21050716,5.84,1.0,924.0,924.0,4.8,83.0,83.0,Nontechnical
42,18040271,0.93,1.0,66.0,66.0,0.52,39.0,349.0,Technical
43,21110860,0.16,1.0,89.0,89.0,0.16,147.0,364.0,Technical
44,21110993,1.62,1.0,58.0,64.0,0.17,62.0,87.0,Technical
45,18040301,0.16,1.0,0.0,0.0,0.0,150.0,152.0,Technical
46,19060334,1.98,1.0,78.0,79.0,1.22,59.0,24.0,Nontechnical
47,18040190,7.71,1.0,970.0,971.0,6.6,31.0,40.0,Nontechnical
48,21050719,9.92,1.0,991.0,991.0,9.4,272.0,73.0,Nontechnical
49,21050822,4.32,1.0,48.0,48.0,2.58,70.0,41.0,Technical
50,18040177,7.75,1.0,97.0,96.0,2.78,31.0,148.0,Technical
51,21050576,6.64,1.0,977.0,978.0,6.31,270.0,511.0,Technical
52,18040245,9.96,1.0,998.0,1698.0,1.22,45.0,307.0,Technical
53,19060395,3.0,1.0,992.0,992.0,2.25,31.0,34.0,Technical
54,21050719,9.91,1.0,3.0,3.0,0.09,71.0,76.0,Nontechnical
55,21050660,3.36,1.0,90.0,90.0,1.9,93.0,41.0,Technical
56,21050719,5.27,1.0,992.0,992.0,4.52,124.0,5.0,Technical
57,21050719,4.45,1.0,933.0,935.0,2.82,79.0,100.0,Nontechnical
58,19060382,9.71,1.0,962.0,965.0,2.12,187.0,84.0,Nontechnical
59,21050645,0.7,1.0,13.0,13.0,0.07,45.0,47.0,Nontechnical
60,21050716,1.3,1.0,424.0,424.0,0.47,83.0,83.0,Nontechnical
61,18040245,9.94,1.0,0.0,0.0,0.0,158.0,206.0,Technical
62,19060416,9.91,1.0,93.0,94.0,1.13,31.0,31.0,Nontechnical
63,21050719,2.36,1.0,0.0,0.0,0.0,81.0,81.0,Nontechnical
64,18040215,6.96,1.0,0.0,0.0,0.0,185.0,525.0,Nontechnical
65,21050719,6.22,1.0,6.0,6.0,0.18,79.0,100.0,Nontechnical
66,21050653,6.74,1.0,996.0,997.0,5.12,43.0,43.0,Technical
67,21110979,1.61,1.0,94.0,90.0,0.55,51.0,11.0,Technical
68,21050651,0.43,1.0,92.0,92.0,0.33,48.0,122.0,Nontechnical
69,18040296,8.05,1.0,0.0,0.0,0.0,158.0,206.0,Technical
70,18040296,2.18,1.0,96.0,96.0,1.56,31.0,32.0,Nontechnical
71,19060551,2.65,1.0,81.0,86.0,0.85,285.0,41.0,Nontechnical
72,17010091,12.94,1.0,1.0,1.0,0.01,84.0,11.0,Nontechnical
73,17020148,9.96,1.0,2.0,2.0,0.04,177.0,524.0,Nontechnical
74,19060347,7.53,1.0,6.0,6.0,0.22,243.0,294.0,Nontechnical
75,21050851,9.95,1.0,351.0,351.0,0.24,62.0,423.0,Technical
76,19060447,3.1,1.0,845.0,844.0,1.7,50.0,9.0,Nontechnical
77,18040282,5.55,1.0,1172.0,1674.0,4.54,150.0,152.0,Technical
78,18040304,6.14,1.0,933.0,941.0,6.34,46.0,46.0,Nontechnical
79,21050601,4.34,1.0,949.0,949.0,4.0,32.0,135.0,Technical
80,17020141,9.99,1.0,0.0,0.0,0.0,177.0,524.0,Nontechnical
81,19060347,4.77,1.0,2256.0,2262.0,2.03,243.0,294.0,Nontechnical
82,21050719,2.64,1.0,995.0,995.0,2.29,124.0,5.0,Technical
83,18040234,0.33,1.0,94.0,93.0,0.33,91.0,95.0,Nontechnical
84,21050719,7.11,1.0,1.0,913.0,5.48,272.0,73.0,Nontechnical
85,19060306,7.25,1.0,977.0,977.0,4.66,150.0,152.0,Technical
86,21110993,9.98,1.0,82.0,85.0,0.5,62.0,87.0,Technical
87,18040255,10.17,1.0,924.0,924.0,7.29,55.0,283.0,Technical
88,18040245,3.38,1.0,50.0,53.0,2.24,45.0,307.0,Technical
89,21110893,9.91,1.0,909.0,908.0,4.65,65.0,65.0,Technical
90,18040178,9.97,1.0,5.0,9.0,0.1,177.0,524.0,Nontechnical
91,21050697,0.94,1.0,3.0,3.0,0.06,83.0,83.0,Nontechnical
92,18040245,8.5,1.0,7.0,7.0,0.03,158.0,206.0,Technical
93,19060390,3.42,1.0,4085.0,4085.0,3.38,187.0,84.0,Nontechnical
94,21050615,9.94,1.0,0.0,0.0,0.0,75.0,76.0,Nontechnical
95,21050823,0.26,1.0,0.0,99.0,0.23,70.0,41.0,Technical
96,18040234,2.58,1.0,98.0,74.0,1.53,91.0,95.0,Nontechnical
97,18040215,9.95,1.0,0.0,0.0,0.0,154.0,74.0,Nontechnical
98,21110979,5.74,1.0,2.0,2.0,0.02,51.0,11.0,Technical
99,21050610,9.93,1.0,0.0,0.0,0.02,75.0,76.0,Nontechnical
100,21050776,2.16,1.0,993.0,993.0,2.08,264.0,14.0,Technical
101,21110979,1.1,1.0,415.0,826.0,0.82,51.0,11.0,Technical
102,19060557,9.89,1.0,96.0,49.0,1.16,220.0,4.0,Technical
103,19060416,9.95,1.0,0.0,3.0,0.01,31.0,34.0,Technical
104,21050822,3.83,1.0,938.0,938.0,3.59,70.0,41.0,Technical
105,19060385,0.36,1.0,1.0,1.0,0.0,58.0,59.0,Technical
106,21110979,0.33,1.0,0.0,0.0,0.0,37.0,3.0,Technical
107,21050625,9.97,1.0,0.0,0.0,0.0,32.0,33.0,Technical
108,18040193,2.43,1.0,933.0,934.0,2.27,53.0,320.0,Technical
109,21110979,9.51,1.0,972.0,942.0,2.98,51.0,11.0,Technical
110,18040245,9.96,1.0,983.0,983.0,3.65,158.0,206.0,Technical
111,21050855,1.62,1.0,955.0,955.0,1.52,51.0,74.0,Technical
112,21050719,9.5,1.0,987.0,999.0,6.45,81.0,81.0,Nontechnical
113,19060419,1.71,1.0,974.0,1063.0,1.03,33.0,14.0,Technical
114,18040178,5.18,1.0,21.0,21.0,1.2,73.0,74.0,Nontechnical
115,18040195,1.01,1.0,3.0,36.0,0.04,31.0,40.0,Nontechnical
116,18040296,0.3,1.0,151.0,160.0,0.13,158.0,206.0,Technical
